CustomExercise,ExerciseInstructions
Nordic Curl,
Snatch Grip Barbell Row,
Dumbell Floor Press,
DB RDL,
Football  Bar Floor Press,
Lower Body Focus Full Body,"Warm up
90 seconds of bike @ Moderate pace
20 second passive hang 
10 peterson Step up
20 shin boxs
10 tib raises
3 box jumps 

LOWER
Front squat+glute ham raise
3x3-5
3x6-8
Barbell RDL+KOT split squat 10%bw
3x6-8
3x8-10
Football bar floor Press+tricep dip
3x8"
Dumbell Y Raise,
Ring Plank,
Bounds,
Tabata,
Neutral Pull Up,
Low Incline Db Flye,
Cable Lateral Raise,
Lat Prayer Cable,
Single Unders Skipping,
Pause At The Knee Deadlift,
Front Rack Reverse Lunge,
DB ROW to Chest,
Filly Press,
Wall Walk,
Rear Rack Walking Lunge,
Strict Dip,
Supinated Chin Up,
Weight  Squat Jumps,
Zercher  Split Squat,
Reverse Hyper,
One Arm Deadlift,
Banded Trap Bar Deadlifts,
T Bar Row/kelso Shrug,
Banded Speed Bench Press,
Cable Katana Extension,
Seated Hamstring Curl,
Banded Chest To Bar,
Air Bike Sprint,
Goblet Cossack Squat,
Overhead Carry/front Rack Carry,
Zercher Carry,
Hamburger Sauat (Heel Elevated Goblet),
Banded Kettlebell Swing,
Cable Pull Thru,
Banded Half Kneeling Pallof Press,
Ql Extensions,
Wide Stance Box Squat,
Banded Hamstring Curls,
Box Squat Back Squat,
Banded Leg Extension,
Zercher Reverse Lunge,
Banded Low To High Chop,
Reverse Crunch,
Banded Tricep Pulldown,
Seated Power Clean,
Banded Lat Pulldown,
Band Glute Pull Thru,
Yoga Push Up,
Lean Away Lateral Raise,
Meadows Row - Landmine,
1 1/4 Back Squat,
Front KB Carry,
Front Squat+back Squat,
Barbell SLDL,
BarBell Split Stance RDl,
Cyclist Squat,
KOT Split Squats,
Reverse Barbell Curl,
Military Press,
Hamstring Slides on Rings,
Parallette Push Up,
BC Hamstring Slides,
Tempo.front Squat,
Db Full Raise,
Standing Abductor Banded Pull Aparts,
Muscle Clean,
Top Down Snatch - 4 Part,
Cable Fly,
B Stance Rdl,
Poliquin Lateral Raise,
Incline Db Curl,
Banded OH Tricep Extension,
Db Meadows Row,
Db Drag Curl,
Supinated Pull Up,
Pronated Chin Up,
Slant Board Suitcase Squats,
Box Step Up,
Wall Sit,
Tall Kneeling To Standing,
Goblet Pulse Squat,
Neutral Grip DB Bench Press,
segmented power clean,
Hamstring Match,
High Hang Pull,
Chest Supported Elbowing Row,
Single Arm Pull Down,
drop back reverse lunge,
tuck up's in dip support,
rower hamstring curls,
DB narrow grip bench press,
1 1/4 Hip Thrust,
Suitcase Walking Lunge,
Jump Lunge,
1 1/4 Bicep Curl,
turkish weight plate sit up,
inverted skull crusher,
Fan Bike,"12-15 min Bike

At minutes 3, 6, 9, 12, and 15, get off the bike and perform:

• Alternating Single Arm Dumbbell Power Clean 6 reps (3 reps/side)
• Dumbbell Filly Carry 20m/side"
seated leg curl,
Spider Curl,
rear foot elevated RDL,
rear foot elevated RDL,
drop squat,
farmers press,
DB bent over Row,
Wide Grip Lat Pulldown,
donkey calf raises,
tib raises,
lat prayer cable pull downs,
